id,cluster_id,irradiance,farm_type,capacity,capacity_factor,power_generation,estimated_cost
5801,2,6.259271145,medium_residential,0.01,0.261,22.84633968,26600
5802,2,6.216211319,medium_community,2.0,0.259,4537.834263,5320000
5803,2,6.216211319,large_residential,0.015,0.259,34.03375697,39900
5804,2,6.218408108,large_utility,2000.0,0.259,4539437.919,5320000000
5805,2,6.222421169,medium_residential,0.01,0.259,22.71183727,26600
5806,2,6.222421169,large_community,5.0,0.259,11355.91863,13300000
5807,2,6.216545105,medium_community,2.0,0.259,4538.077927,5320000
5808,2,6.183554173,large_utility,2000.0,0.258,4513994.546,5320000000
5809,13,5.959344864,medium_community,2.0,0.248,4350.321751,5320000
5810,13,5.949206829,small_utility,5.0,0.248,10857.30246,13300000
5811,13,5.970846653,small_residential,0.005,0.249,10.89679514,13300
5812,13,5.970846653,large_residential,0.015,0.249,32.69038543,39900
5813,13,5.998199463,small_residential,0.005,0.25,10.94671402,13300
5814,13,5.745635986,small_community,0.15,0.239,314.5735702,399000
5815,13,5.794360638,small_community,0.15,0.241,317.2412449,399000
5816,13,5.794360638,small_utility,5.0,0.241,10574.70816,13300000
5817,0,5.360339642,large_community,5.0,0.223,9782.619847,13300000
5818,0,5.417483807,large_utility,2000.0,0.226,3954763.179,5320000000
5819,0,5.417483807,medium_residential,0.01,0.226,19.7738159,26600
5820,4,5.154520988,medium_utility,500.0,0.215,940700.0803,1330000000
5821,12,6.837415218,large_residential,0.015,0.285,37.43484832,39900
5822,1,6.430565357,medium_community,2.0,0.268,4694.312711,5320000
5823,1,6.494722366,medium_community,2.0,0.271,4741.147327,5320000
5824,1,6.430104733,small_residential,0.005,0.268,11.73494114,13300
5825,1,6.430104733,large_utility,2000.0,0.268,4693976.455,5320000000
5826,1,6.332688808,large_community,5.0,0.264,11557.15707,13300000
5827,9,6.556089878,large_community,5.0,0.273,11964.86403,13300000
5828,9,6.340853214,large_community,5.0,0.264,11572.05712,13300000
5829,9,6.519918919,large_residential,0.015,0.272,35.69655608,39900
5830,9,6.468971252,small_utility,5.0,0.27,11805.87253,13300000
5831,9,6.496802807,small_community,0.15,0.271,355.6999537,399000
5832,9,6.495433331,medium_residential,0.01,0.271,23.70833166,26600
5833,9,6.495433331,small_utility,5.0,0.271,11854.16583,13300000
5834,9,6.443341732,small_residential,0.005,0.268,11.75909866,13300
5835,9,6.510635853,medium_community,2.0,0.271,4752.764173,5320000
5836,9,6.510635853,large_community,5.0,0.271,11881.91043,13300000
5837,9,6.500279903,small_community,0.15,0.271,355.8903247,399000
5838,9,6.500279903,medium_residential,0.01,0.271,23.72602165,26600
5839,9,6.483404636,medium_community,2.0,0.27,4732.885384,5320000
5840,9,6.478839874,medium_residential,0.01,0.27,23.64776554,26600
5841,9,6.478839874,large_community,5.0,0.27,11823.88277,13300000
5842,9,6.492107868,small_residential,0.005,0.271,11.84809686,13300
5843,9,6.492107868,small_community,0.15,0.271,355.4429058,399000
5844,9,6.458541393,small_community,0.15,0.269,353.6051413,399000
5845,9,6.456775665,large_community,5.0,0.269,11783.61559,13300000
5846,9,6.456775665,small_utility,5.0,0.269,11783.61559,13300000
5847,9,6.594182968,small_community,0.15,0.275,361.0315175,399000
5848,9,6.592689991,small_residential,0.005,0.275,12.03165923,13300
5849,9,6.592689991,large_residential,0.015,0.275,36.0949777,39900
5850,9,6.570159912,small_community,0.15,0.274,359.7162552,399000
5851,9,6.570159912,medium_community,2.0,0.274,4796.216736,5320000
5852,9,6.523894787,large_community,5.0,0.272,11906.10799,13300000
5853,9,6.54958868,large_utility,2000.0,0.273,4781199.736,5320000000
5854,9,6.54958868,large_utility,2000.0,0.273,4781199.736,5320000000
5855,9,6.551845551,small_utility,5.0,0.273,11957.11813,13300000
5856,9,6.551845551,medium_residential,0.01,0.273,23.91423626,26600
5857,9,6.547924519,large_community,5.0,0.273,11949.96225,13300000
5858,9,6.578092575,medium_residential,0.01,0.274,24.0100379,26600
5859,9,6.593296051,medium_utility,500.0,0.275,1203276.529,1330000000
5860,9,6.593296051,large_community,5.0,0.275,12032.76529,13300000
5861,9,6.524267673,medium_community,2.0,0.272,4762.715401,5320000
5862,9,6.583019257,small_community,0.15,0.274,360.4203043,399000
5863,9,6.583019257,medium_utility,500.0,0.274,1201401.014,1330000000
5864,9,6.569401264,large_residential,0.015,0.274,35.96747192,39900
5865,9,6.490609646,small_utility,5.0,0.27,11845.3626,13300000
5866,9,6.498883724,medium_residential,0.01,0.271,23.72092559,26600
5867,9,6.498883724,medium_community,2.0,0.271,4744.185119,5320000
5868,9,6.489051819,medium_utility,500.0,0.27,1184251.957,1330000000
5869,9,6.489051819,small_residential,0.005,0.27,11.84251957,13300
5870,9,6.527135849,small_residential,0.005,0.272,11.91202292,13300
5871,9,6.532049656,small_residential,0.005,0.272,11.92099062,13300
5872,9,6.532049656,large_community,5.0,0.272,11920.99062,13300000
5873,9,6.520941257,medium_residential,0.01,0.272,23.80143559,26600
5874,9,6.520941257,large_community,5.0,0.272,11900.71779,13300000
5875,9,6.487257004,medium_community,2.0,0.27,4735.697613,5320000
5876,9,6.508394718,medium_utility,500.0,0.271,1187782.036,1330000000
5877,9,6.508394718,medium_utility,500.0,0.271,1187782.036,1330000000
5878,9,6.52412653,small_community,0.15,0.272,357.1959275,399000
5879,9,6.52412653,medium_community,2.0,0.272,4762.612367,5320000
5880,9,6.495777607,medium_residential,0.01,0.271,23.70958827,26600
5881,9,6.49371767,small_utility,5.0,0.271,11851.03475,13300000
5882,9,6.49371767,medium_residential,0.01,0.271,23.7020695,26600
5883,9,6.455734253,small_utility,5.0,0.269,11781.71501,13300000
5884,9,6.455734253,large_utility,2000.0,0.269,4712686.005,5320000000
5885,2,6.434907913,medium_utility,500.0,0.268,1174370.694,1330000000
5886,2,6.434907913,large_residential,0.015,0.268,35.23112082,39900
5887,2,6.437032223,medium_utility,500.0,0.268,1174758.381,1330000000
5888,2,6.420074463,large_residential,0.015,0.268,35.14990768,39900
5889,2,6.420074463,large_residential,0.015,0.268,35.14990768,39900
5890,2,6.386602402,large_residential,0.015,0.266,34.96664815,39900
5891,2,6.386602402,large_community,5.0,0.266,11655.54938,13300000
5892,2,6.372717381,medium_utility,500.0,0.266,1163020.922,1330000000
5893,2,6.372717381,small_residential,0.005,0.266,11.63020922,13300
5894,2,6.386725903,small_utility,5.0,0.266,11655.77477,13300000
5895,2,6.386725903,small_community,0.15,0.266,349.6732432,399000
5896,2,6.393026352,medium_utility,500.0,0.266,1166727.309,1330000000
5897,2,6.352418423,medium_residential,0.01,0.265,23.18632724,26600
5898,2,6.352418423,small_community,0.15,0.265,347.7949087,399000
5899,2,6.3686409,large_community,5.0,0.265,11622.76964,13300000
5900,2,6.3686409,small_community,0.15,0.265,348.6830893,399000
5901,2,6.36977005,medium_utility,500.0,0.265,1162483.034,1330000000
5902,2,6.36977005,small_residential,0.005,0.265,11.62483034,13300
5903,2,6.36907053,small_residential,0.005,0.265,11.62355372,13300
5904,2,6.36907053,medium_utility,500.0,0.265,1162355.372,1330000000
5905,2,6.376341343,small_residential,0.005,0.266,11.63682295,13300
5906,2,6.327483654,medium_utility,500.0,0.264,1154765.767,1330000000
5907,2,6.327483654,medium_residential,0.01,0.264,23.09531534,26600
5908,2,6.308662415,medium_utility,500.0,0.263,1151330.891,1330000000
5909,2,6.334682465,small_community,0.15,0.264,346.823865,399000
5910,2,6.298760891,medium_residential,0.01,0.262,22.99047725,26600
5911,2,6.345036983,small_community,0.15,0.264,347.3907748,399000
5912,2,6.345036983,small_residential,0.005,0.264,11.57969249,13300
5913,2,6.333221436,medium_utility,500.0,0.264,1155812.912,1330000000
5914,2,6.333221436,large_utility,2000.0,0.264,4623251.648,5320000000
5915,2,6.301746368,medium_residential,0.01,0.263,23.00137424,26600
5916,2,6.301746368,small_community,0.15,0.263,345.0206136,399000
5917,2,6.241288662,small_community,0.15,0.26,341.7105542,399000
5918,2,6.241288662,medium_utility,500.0,0.26,1139035.181,1330000000
5919,2,6.243463993,small_residential,0.005,0.26,11.39432179,13300
5920,2,6.263511181,medium_residential,0.01,0.261,22.86181581,26600
5921,2,6.263511181,medium_utility,500.0,0.261,1143090.791,1330000000
5922,2,6.269847393,small_residential,0.005,0.261,11.44247149,13300
5923,2,6.269847393,large_utility,2000.0,0.261,4576988.597,5320000000
5924,2,6.288286686,medium_community,2.0,0.262,4590.449281,5320000
5925,2,6.288286686,small_community,0.15,0.262,344.2836961,399000
5926,2,6.242187977,medium_community,2.0,0.26,4556.797223,5320000
5927,2,6.216211319,small_utility,5.0,0.259,11344.58566,13300000
5928,2,6.216211319,small_residential,0.005,0.259,11.34458566,13300
5929,2,6.218408108,small_community,0.15,0.259,340.4578439,399000
